site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Hamburg  115  1  1  16  Devalued  pre  1-day  2.231311e+00  8.821967e-02  0  45  4  8
Hamburg  115  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  18  Devalued  pre  1-day  2.399231e+00  1.377723e-01  3  97  4  8
Hamburg  115  1  1  19  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  1  20  Valued  pre  1-day  2.239799e+00  1.742807e-01  1  45  3  8
Hamburg  115  1  2  1  Devalued  pre  1-day  1.193369e+00  1.689701e-01  3  24  4  8
Hamburg  115  1  2  2  Valued  pre  1-day  1.681088e+00  3.461039e-01  3  67  3  8
Hamburg  115  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  4  Devalued  pre  1-day  1.850584e+00  1.597318e-01  2  37  4  8
Hamburg  115  1  2  5  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  6  Valued  pre  1-day  7.966007e-01  2.081034e+00  1  16  3  8
Hamburg  115  1  2  7  Devalued  pre  1-day  2.479736e+00  1.592737e-01  1  99  4  8
Hamburg  115  1  2  8  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  9  Valued  pre  1-day  2.050241e+00  1.696257e-01  4  82  3  8
Hamburg  115  1  2  10  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  11  Valued  pre  1-day  1.786036e+00  2.853753e-01  1  36  3  8
Hamburg  115  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  13  Devalued  pre  1-day  2.038654e+00  1.219904e-01  1  41  4  8
Hamburg  115  1  2  14  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  15  Valued  pre  1-day  1.794539e+00  8.602903e-02  0  36  3  8
Hamburg  115  1  2  16  Devalued  pre  1-day  1.699706e+00  1.664368e-01  2  34  4  8
Hamburg  115  1  2  17  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  18  Valued  pre  1-day  1.700597e+00  1.576428e-01  1  34  3  8
Hamburg  115  1  2  19  Rest  pre  1-day  0  0  0  0  NaN  8
Hamburg  115  1  2  20  Devalued  pre  1-day  1.723944e+00  1.981936e-01  6  69  4  8
Hamburg  115  1  3  1  Devalued  post  1-day  4.989099e-02  0  0  1  -4  -5
Hamburg  115  1  3  2  Valued  post  1-day  4.994442e-02  0  0  1  1  -5
Hamburg  115  1  3  3  Rest  post  1-day  0  0  0  0  NaN  -5
Hamburg  115  1  3  4  Devalued  post  1-day  0  0  0  0  -4  -5
Hamburg  115  1  3  5  Rest  post  1-day  0  0  0  0  NaN  -5
Hamburg  115  1  3  6  Devalued  post  1-day  0  0  0  0  -4  -5
Hamburg  115  1  3  7  Valued  post  1-day  0  0  0  0  1  -5
Hamburg  115  1  3  8  Rest  post  1-day  0  0  0  0  NaN  -5
Hamburg  115  1  3  9  Valued  post  1-day  0  0  0  0  1  -5
Hamburg  116  1  1  1  Valued  pre  1-day  4.316088e+00  1.781733e-01  3  86  5  10
Hamburg  116  1  1  2  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  3  Valued  pre  1-day  3.883514e+00  2.194209e-01  3  78  5  10
Hamburg  116  1  1  4  Devalued  pre  1-day  4.449308e+00  1.155292e-01  1  89  5  10
Hamburg  116  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  6  Valued  pre  1-day  4.188819e+00  1.513057e-01  2  84  5  10
Hamburg  116  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  8  Devalued  pre  1-day  4.280978e+00  1.968895e-01  3  86  5  10
Hamburg  116  1  1  9  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  10  Valued  pre  1-day  3.746926e+00  3.324074e-01  2  150  5  10
Hamburg  116  1  1  11  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  12  Valued  pre  1-day  4.391685e+00  1.350398e-01  1  88  5  10
Hamburg  116  1  1  13  Devalued  pre  1-day  4.241780e+00  1.345194e-01  4  170  5  10
Hamburg  116  1  1  14  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  15  Devalued  pre  1-day  4.616682e+00  8.102923e-02  1  185  5  10
Hamburg  116  1  1  16  Valued  pre  1-day  2.744816e+00  2.530031e-01  4  110  5  10
Hamburg  116  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  18  Devalued  pre  1-day  3.742462e+00  2.074630e-01  2  75  5  10
Hamburg  116  1  1  19  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  1  20  Devalued  pre  1-day  4.491546e+00  1.008854e-01  1  91  5  10
Hamburg  116  1  2  1  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  2  Devalued  pre  1-day  4.537268e+00  1.398059e-01  4  182  5  10
Hamburg  116  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  4  Devalued  pre  1-day  3.787529e+00  2.082359e-01  7  152  5  10
Hamburg  116  1  2  5  Valued  pre  1-day  4.313383e+00  1.544758e-01  2  86  5  10
Hamburg  116  1  2  6  Devalued  pre  1-day  4.646938e+00  6.616000e-02  0  93  5  10
Hamburg  116  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  8  Devalued  pre  1-day  4.438715e+00  1.632870e-01  3  89  5  10
Hamburg  116  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  10  Valued  pre  1-day  4.213374e+00  1.713319e-01  3  85  5  10
Hamburg  116  1  2  11  Devalued  pre  1-day  4.782549e+00  4.596934e-02  0  95  5  10
Hamburg  116  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  13  Devalued  pre  1-day  4.696259e+00  1.141082e-01  1  94  5  10
Hamburg  116  1  2  14  Valued  pre  1-day  4.190109e+00  1.635924e-01  1  84  5  10
Hamburg  116  1  2  15  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  16  Valued  pre  1-day  4.679073e+00  1.280215e-01  1  94  5  10
Hamburg  116  1  2  17  Rest  pre  1-day  0  0  0  0  NaN  10
Hamburg  116  1  2  18  Valued  pre  1-day  4.444948e+00  1.352709e-01  2  178  5  10
Hamburg  116  1  2  19  Rest  pre  1-day  0  0  0  0  NaN  10
