site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Sydney  240  1  1  2  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  3  Valued  pre  1-day  1.300976e+00  1.748124e-01  1  26  4  10
Sydney  240  1  1  4  Devalued  pre  1-day  9.990357e-01  2.165748e-01  6  40  5  10
Sydney  240  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  6  Valued  pre  1-day  1.250041e+00  1.651934e-01  4  50  4  10
Sydney  240  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  8  Valued  pre  1-day  1.250560e+00  1.853707e-01  1  25  4  10
Sydney  240  1  1  9  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  10  Devalued  pre  1-day  1.300992e+00  2.635462e-01  1  26  5  10
Sydney  240  1  1  11  Valued  pre  1-day  1.295431e+00  1.495904e-01  2  26  4  10
Sydney  240  1  1  12  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  13  Devalued  pre  1-day  1.248212e+00  1.479026e-01  2  25  5  10
Sydney  240  1  1  14  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  15  Devalued  pre  1-day  1.250295e+00  1.543433e-01  1  25  5  10
Sydney  240  1  1  16  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  1  17  Valued  pre  1-day  1.276223e+00  1.031975e-01  4  51  4  10
Sydney  240  1  1  18  Devalued  pre  1-day  1.405124e+00  1.258527e-01  0  28  5  10
Sydney  240  1  1  19  Valued  pre  1-day  1.001772e+00  5.053243e-01  1  20  4  10
Sydney  240  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  2  1  Devalued  pre  1-day  1.043564e+00  2.078567e-01  3  41  5  10
Sydney  240  1  2  2  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  2  3  Valued  pre  1-day  1.149390e+00  2.035394e-01  1  23  4  10
Sydney  240  1  2  4  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  2  5  Valued  pre  1-day  1.198177e+00  1.222564e-01  3  24  4  10
Sydney  240  1  2  6  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  2  7  Devalued  pre  1-day  1.099677e+00  1.091901e-01  1  22  5  10
Sydney  240  1  2  8  Rest  pre  1-day  0  0  0  0  NaN  10
Sydney  240  1  2  9  Devalued  pre  1-day  1.122953e+00  1.974321e-01  3  45  5  10
