site  ID  session  run  trial  cue  prepost  group  pressFreq  pressVar  nRewards  nResponse  outcomeliking  hunger
Caltech1  53  1  2  9  Valued  pre  1-day  1.629896e+00  2.123206e-01  5  65  4  8
Caltech1  53  1  2  10  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  11  Devalued  pre  1-day  1.787145e+00  2.200121e-01  0  36  0  8
Caltech1  53  1  2  12  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  13  Valued  pre  1-day  1.744359e+00  1.906409e-01  1  35  4  8
Caltech1  53  1  2  14  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  15  Valued  pre  1-day  1.745238e+00  2.023234e-01  2  35  4  8
Caltech1  53  1  2  16  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  2  17  Devalued  pre  1-day  1.573514e+00  1.841047e-01  3  63  0  8
Caltech1  53  1  2  18  Valued  pre  1-day  1.560208e+00  1.813510e-01  3  64  4  8
Caltech1  53  1  2  19  Devalued  pre  1-day  1.582337e+00  1.796670e-01  1  30  0  8
Caltech1  53  1  2  20  Rest  pre  1-day  0  0  0  0  NaN  8
Caltech1  53  1  3  1  Valued  post  1-day  1.594968e+00  1.552182e-01  0  32  4  6
Caltech1  53  1  3  2  Rest  post  1-day  0  0  0  0  NaN  6
Caltech1  53  1  3  3  Devalued  post  1-day  1.699372e+00  1.226440e-01  0  34  -2  6
Caltech1  53  1  3  4  Valued  post  1-day  1.847334e+00  8.950409e-02  0  38  4  6
Caltech1  53  1  3  5  Rest  post  1-day  0  0  0  0  NaN  6
Caltech1  53  1  3  6  Devalued  post  1-day  1.287969e+00  1.138372e-01  0  26  -2  6
Caltech1  53  1  3  7  Valued  post  1-day  1.807073e+00  1.271939e-01  0  36  4  6
Caltech1  53  1  3  8  Rest  post  1-day  0  0  0  0  NaN  6
Caltech1  53  1  3  9  Devalued  post  1-day  1.449849e+00  1.356752e-01  0  29  -2  6
Caltech1  54  1  1  1  Devalued  pre  1-day  4.096550e+00  1.682810e-01  1  82  3  7
Caltech1  54  1  1  2  Valued  pre  1-day  4.335725e+00  1.005335e-01  1  86  2  7
Caltech1  54  1  1  3  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  4  Devalued  pre  1-day  4.339703e+00  1.552878e-01  5  174  3  7
Caltech1  54  1  1  5  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  6  Devalued  pre  1-day  3.899310e+00  2.065911e-01  3  78  3  7
Caltech1  54  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  8  Devalued  pre  1-day  4.128782e+00  1.571115e-01  2  83  3  7
Caltech1  54  1  1  9  Valued  pre  1-day  3.996141e+00  1.380590e-01  2  80  2  7
Caltech1  54  1  1  10  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  11  Valued  pre  1-day  4.186266e+00  1.609701e-01  6  168  2  7
Caltech1  54  1  1  12  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  13  Devalued  pre  1-day  4.099198e+00  1.533403e-01  5  164  3  7
Caltech1  54  1  1  14  Valued  pre  1-day  3.932513e+00  1.670946e-01  3  79  2  7
Caltech1  54  1  1  15  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  16  Valued  pre  1-day  3.795619e+00  4.905339e-01  1  76  2  7
Caltech1  54  1  1  17  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  1  18  Valued  pre  1-day  3.957230e+00  1.778157e-01  7  159  2  7
Caltech1  54  1  1  19  Devalued  pre  1-day  3.609618e+00  2.014880e-01  4  72  3  7
Caltech1  54  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  1  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  2  Devalued  pre  1-day  4.190955e+00  1.647204e-01  6  168  3  7
Caltech1  54  1  2  3  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  4  Valued  pre  1-day  3.997450e+00  1.390666e-01  4  160  2  7
Caltech1  54  1  2  5  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  6  Devalued  pre  1-day  4.171528e+00  4.076763e-01  2  84  3  7
Caltech1  54  1  2  7  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  8  Valued  pre  1-day  3.287357e+00  8.564193e-01  2  66  2  7
Caltech1  54  1  2  9  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  10  Valued  pre  1-day  2.789699e+00  1.037229e+00  1  56  2  7
Caltech1  54  1  2  11  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  12  Devalued  pre  1-day  4.254712e+00  1.506650e-01  5  171  3  7
Caltech1  54  1  2  13  Valued  pre  1-day  4.265743e+00  1.364519e-01  4  170  2  7
Caltech1  54  1  2  14  Devalued  pre  1-day  3.661511e+00  2.253078e-01  4  73  3  7
Caltech1  54  1  2  15  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  16  Valued  pre  1-day  1.888671e+00  1.911993e+00  1  38  2  7
Caltech1  54  1  2  17  Devalued  pre  1-day  4.426570e+00  1.589306e-01  3  89  3  7
Caltech1  54  1  2  18  Rest  pre  1-day  0  0  0  0  NaN  7
Caltech1  54  1  2  19  Devalued  pre  1-day  3.975367e+00  4.179509e-01  2  80  3  7
Caltech1  54  1  2  20  Valued  pre  1-day  3.919685e+00  1.482416e-01  2  78  2  7
Caltech1  54  1  3  1  Devalued  post  1-day  1.996937e-01  3.773411e+00  0  4  -3  3
Caltech1  54  1  3  2  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  54  1  3  3  Valued  post  1-day  4.352520e+00  1.705148e-01  0  87  1  3
Caltech1  54  1  3  4  Devalued  post  1-day  3.879904e+00  1.695017e-01  0  80  -3  3
Caltech1  54  1  3  5  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  54  1  3  6  Valued  post  1-day  3.343273e+00  7.010908e-01  0  67  1  3
Caltech1  54  1  3  7  Rest  post  1-day  0  0  0  0  NaN  3
Caltech1  54  1  3  8  Valued  post  1-day  3.796020e+00  2.947322e-01  0  76  1  3
Caltech1  54  1  3  9  Devalued  post  1-day  4.543519e+00  5.972453e-02  0  92  -3  3
Caltech1  55  1  1  1  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  2  Devalued  pre  1-day  9.995369e-01  4.180952e-01  2  20  4  9
Caltech1  55  1  1  3  Valued  pre  1-day  9.246033e-01  6.172383e-01  4  37  3  9
Caltech1  55  1  1  4  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  5  Devalued  pre  1-day  1.025133e+00  4.900864e-01  5  41  4  9
Caltech1  55  1  1  6  Valued  pre  1-day  9.464834e-01  3.619616e-01  0  19  3  9
Caltech1  55  1  1  7  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  8  Devalued  pre  1-day  9.491545e-01  7.548574e-01  3  19  4  9
Caltech1  55  1  1  9  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  10  Valued  pre  1-day  1.300308e+00  2.674996e-01  1  26  3  9
Caltech1  55  1  1  11  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  12  Valued  pre  1-day  8.477130e-01  8.231316e-01  6  34  3  9
Caltech1  55  1  1  13  Devalued  pre  1-day  1.004123e+00  1.139258e+00  2  20  4  9
Caltech1  55  1  1  14  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  15  Devalued  pre  1-day  8.474487e-01  6.404646e-01  1  17  4  9
Caltech1  55  1  1  16  Rest  pre  1-day  0  0  0  0  NaN  9
Caltech1  55  1  1  17  Valued  pre  1-day  1.097262e+00  1.794788e-01  0  22  3  9
Caltech1  55  1  1  18  Devalued  pre  1-day  5.995639e-01  1.739805e+00  2  24  4  9
Caltech1  55  1  1  19  Valued  pre  1-day  7.022802e-01  1.762634e-01  0  14  3  9
Caltech1  55  1  1  20  Rest  pre  1-day  0  0  0  0  NaN  9
